bLabel,bName,bPopulation,EnglishWelsh,French,Portuguese,Spanish,Italian,German,Polish,Slovak,Czech,Romanian,Lithuanian,Latvian,Hungarian,Bulgarian,Greek,Dutch,Swedish,Danish,Finnish,Estonian,Slovenian,Maltese,OtherEU,Albanian,SerbianCroatianBosnian,Ukrainian,OtherNonEU,Romani,Yiddish,Russian,Turkish,Arabic,Hebrew,Kurdish,PersianFarsi,Pashto,OtherSouthAsian,Urdu,Hindi,Panjabi,PakistaniPahari,Bengali,Gujarati,Marathi,Telugu,Tamil,Malayalam,Sinhala,Nepalese,OtherSouthAsian,MandarinChinese,CantoneseChinese,otherChinese,Japanese,Korean,Vietnamese,Thai,Malay,TagalogFilipino,OtherEastAsian,OtherWhatever,NorthSouthAmerican,Amharic,Tigrinya,Somali,Krio,Akan,Yoruba,Igbo,SwahiliKiswahili,Luganda,Lingala,Shona,Afrikaans,OtherNigerian,OtherWestAfrican,OtherAfrican
Barnet,Barnet,340431,260822,2177,2839,2164,1897,953,7930,1400,570,3995,854,147,1715,1190,2103,317,254,155,88,34,13,30,38,1757,438,90,231,26,47,1312,2025,3305,1542,520,6639,1781,410,1750,845,577,0,1062,7278,134,83,1324,179,497,811,368,466,802,2503,2449,332,86,218,278,1766,414,8,33,78,90,1772,25,284,170,179,388,59,83,90,81,138,101,397
Bexley,Bexley,222954,209524,499,315,292,205,146,918,110,65,188,567,64,71,262,104,88,31,26,24,11,1,20,8,252,34,26,51,4,0,267,686,198,5,93,164,37,44,210,161,1655,1,377,533,11,25,736,47,139,196,67,80,400,548,43,10,188,159,19,168,28,1,4,11,5,59,26,160,554,171,47,32,9,163,55,84,59,113
Brent,Brent,297380,187039,2229,6442,2212,1895,723,10153,488,260,5722,919,172,1418,939,734,368,303,133,61,32,17,18,56,1056,289,111,139,24,1,577,334,7892,98,621,3341,1802,358,4571,1917,1530,34,836,23500,280,368,6141,326,1087,2342,754,187,298,907,364,72,53,191,185,2324,524,15,96,276,561,6079,32,554,183,168,236,46,108,38,52,171,216,300
Bromley,Bromley,297299,280143,1056,765,798,626,483,1597,143,112,333,455,70,229,336,194,188,114,90,42,26,4,29,15,417,99,49,109,6,0,558,803,542,23,97,277,50,43,277,273,180,0,532,542,25,68,684,119,128,120,92,97,235,668,235,29,60,163,39,429,39,0,2,23,45,206,11,116,150,58,47,29,19,81,167,29,37,103
Camden,Camden,212089,162438,4225,2004,3107,2626,2193,1944,185,202,289,172,57,368,244,1714,480,706,263,203,33,38,28,128,2043,438,54,312,3,1,1147,708,2171,650,338,1265,308,274,358,194,43,0,6449,260,19,12,76,40,66,129,149,360,527,1761,1609,523,100,317,139,1012,156,2,3,343,484,2545,11,94,63,45,63,26,151,9,46,44,49,233
Croydon,Croydon,346451,296283,2408,2024,1378,968,548,4940,354,273,736,714,61,573,612,416,202,118,81,53,26,10,53,16,427,134,54,74,7,0,503,1482,1002,10,714,1020,659,131,3906,762,1096,8,1166,4214,145,184,5172,1428,271,215,314,222,373,1061,304,64,144,210,70,641,134,3,22,141,194,755,35,1162,341,233,175,286,130,218,121,104,282,346
Ealing,Ealing,322845,213590,2696,2088,1908,1539,934,20463,520,270,889,1031,210,885,960,760,315,257,118,91,47,20,40,44,694,657,256,199,6,0,1203,369,6989,63,1070,4200,1592,1687,5128,2190,16328,19,964,5903,101,130,6002,467,434,2302,586,168,297,1044,2374,151,91,330,126,914,282,10,25,163,212,5611,10,181,100,89,202,38,43,78,135,92,79,282
Enfield,Enfield,297692,229739,2360,1279,1105,1799,387,5837,327,391,1508,765,95,480,1721,4627,208,95,69,46,9,1,23,21,1742,170,72,89,12,1,582,18378,1197,49,1990,1552,241,289,751,229,342,3,2594,2490,33,80,1320,182,376,54,139,142,276,618,137,23,196,93,27,600,90,3,7,179,129,3127,19,1004,215,423,236,162,459,199,73,113,173,355
Greenwich,Greenwich,241675,201006,2151,1090,1277,815,720,2232,277,201,839,1882,230,487,747,279,256,171,82,85,38,2,23,18,630,109,135,100,40,0,895,1408,638,15,390,269,202,162,847,352,1714,7,792,1052,31,48,1110,62,178,5058,162,240,596,1773,192,83,917,148,67,284,180,26,4,44,122,1476,43,343,1380,563,185,135,67,192,162,233,237,300
Hackney,Hackney,234331,177997,3235,2739,3489,2046,1705,3944,162,143,408,402,105,341,335,662,310,662,245,117,33,27,43,107,407,153,65,294,4,2993,482,10551,1201,651,946,354,167,189,734,95,741,3,3003,1909,6,3,84,36,8,38,55,320,405,875,540,196,1013,129,86,310,88,6,8,298,341,1119,55,947,791,332,331,68,315,95,52,169,324,227
