Borough,boroughCode,wName,GSS,Year,Total,groupA,groupB,groupC,groupD,groupE,groupF
Tower Hamlets,13,Bethnal Green North,E05000573,2011-01-01,13823,2414,4664,3800,1641,811,493
Tower Hamlets,13,Bethnal Green North,E05000573,2012-01-01,14138,2428,4762,3923,1702,834,489
Tower Hamlets,13,Bethnal Green North,E05000573,2013-01-01,14485,2466,4800,4083,1789,861,486
Tower Hamlets,13,Bethnal Green North,E05000573,2014-01-01,14477,2466,4652,4155,1853,876,475
Tower Hamlets,13,Bethnal Green North,E05000573,2015-01-01,14642,2474,4616,4254,1925,899,474
Tower Hamlets,13,Bethnal Green North,E05000573,2016-01-01,14741,2472,4542,4324,1996,931,476
Tower Hamlets,13,Bethnal Green North,E05000573,2017-01-01,14874,2481,4490,4376,2075,975,477
Tower Hamlets,13,Bethnal Green North,E05000573,2018-01-01,14988,2461,4476,4424,2135,1015,477
Tower Hamlets,13,Bethnal Green North,E05000573,2019-01-01,15088,2457,4442,4447,2171,1095,476
Tower Hamlets,13,Bethnal Green North,E05000573,2020-01-01,15192,2467,4405,4468,2220,1153,479
Tower Hamlets,13,Bethnal Green North,E05000573,2021-01-01,15507,2476,4534,4540,2270,1197,490
Tower Hamlets,13,Bethnal Green North,E05000573,2022-01-01,15936,2515,4691,4653,2321,1245,511
Tower Hamlets,13,Bethnal Green North,E05000573,2023-01-01,16335,2555,4822,4754,2369,1310,525
Tower Hamlets,13,Bethnal Green North,E05000573,2024-01-01,16716,2591,4928,4860,2422,1378,537
Tower Hamlets,13,Bethnal Green North,E05000573,2025-01-01,17109,2642,5031,4963,2494,1426,553
Tower Hamlets,13,Bethnal Green North,E05000573,2026-01-01,17209,2664,4989,4979,2555,1455,567
Tower Hamlets,13,Bethnal Green North,E05000573,2027-01-01,17320,2671,4964,4999,2609,1489,588
Tower Hamlets,13,Bethnal Green North,E05000573,2028-01-01,17436,2682,4963,5005,2651,1537,598
Tower Hamlets,13,Bethnal Green North,E05000573,2029-01-01,17569,2701,4969,5010,2701,1576,612
Tower Hamlets,13,Bethnal Green North,E05000573,2030-01-01,17689,2714,4989,4996,2742,1621,627
Tower Hamlets,13,Bethnal Green North,E05000573,2031-01-01,17710,2717,4961,4950,2773,1661,648
Tower Hamlets,13,Bethnal Green North,E05000573,2032-01-01,17722,2714,4952,4890,2795,1701,670
Tower Hamlets,13,Bethnal Green North,E05000573,2033-01-01,17725,2710,4943,4834,2820,1729,689
Tower Hamlets,13,Bethnal Green North,E05000573,2034-01-01,17748,2703,4942,4788,2845,1743,727
Tower Hamlets,13,Bethnal Green North,E05000573,2035-01-01,17773,2693,4936,4748,2868,1769,759
Tower Hamlets,13,Bethnal Green North,E05000573,2036-01-01,17787,2687,4922,4710,2891,1793,784
Tower Hamlets,13,Bethnal Green North,E05000573,2037-01-01,17802,2676,4907,4679,2911,1814,815
Tower Hamlets,13,Bethnal Green North,E05000573,2038-01-01,17842,2670,4891,4665,2931,1837,848
Tower Hamlets,13,Bethnal Green North,E05000573,2039-01-01,17857,2661,4881,4645,2937,1856,877
Tower Hamlets,13,Bethnal Green North,E05000573,2040-01-01,17887,2653,4861,4636,2940,1893,904
Tower Hamlets,13,Bethnal Green North,E05000573,2041-01-01,17910,2644,4847,4620,2938,1935,926
Tower Hamlets,13,Bethnal Green South,E05000574,2011-01-01,14285,2679,5429,3530,1624,692,331
Tower Hamlets,13,Bethnal Green South,E05000574,2012-01-01,14536,2664,5605,3563,1653,702,349
Tower Hamlets,13,Bethnal Green South,E05000574,2013-01-01,14925,2683,5799,3659,1697,727,360
Tower Hamlets,13,Bethnal Green South,E05000574,2014-01-01,14953,2677,5750,3662,1734,767,363
Tower Hamlets,13,Bethnal Green South,E05000574,2015-01-01,15055,2680,5731,3688,1782,800,374
Tower Hamlets,13,Bethnal Green South,E05000574,2016-01-01,15304,2677,5836,3745,1831,833,382
Tower Hamlets,13,Bethnal Green South,E05000574,2017-01-01,15604,2679,5976,3814,1873,864,398
Tower Hamlets,13,Bethnal Green South,E05000574,2018-01-01,15899,2701,6078,3897,1924,891,408
Tower Hamlets,13,Bethnal Green South,E05000574,2019-01-01,16157,2722,6159,3968,1969,927,412
Tower Hamlets,13,Bethnal Green South,E05000574,2020-01-01,16418,2741,6227,4046,2030,953,421
Tower Hamlets,13,Bethnal Green South,E05000574,2021-01-01,16610,2768,6240,4124,2070,980,428
Tower Hamlets,13,Bethnal Green South,E05000574,2022-01-01,16858,2815,6279,4201,2109,1022,432
Tower Hamlets,13,Bethnal Green South,E05000574,2023-01-01,17071,2847,6308,4268,2155,1049,444
Tower Hamlets,13,Bethnal Green South,E05000574,2024-01-01,17279,2891,6326,4325,2211,1075,451
Tower Hamlets,13,Bethnal Green South,E05000574,2025-01-01,17500,2931,6368,4375,2278,1085,463
Tower Hamlets,13,Bethnal Green South,E05000574,2026-01-01,17501,2948,6297,4360,2306,1111,479
Tower Hamlets,13,Bethnal Green South,E05000574,2027-01-01,17495,2951,6240,4350,2328,1130,496
Tower Hamlets,13,Bethnal Green South,E05000574,2028-01-01,17498,2950,6208,4324,2358,1148,510
Tower Hamlets,13,Bethnal Green South,E05000574,2029-01-01,17517,2955,6191,4294,2373,1168,536
Tower Hamlets,13,Bethnal Green South,E05000574,2030-01-01,17523,2954,6186,4249,2392,1184,558
Tower Hamlets,13,Bethnal Green South,E05000574,2031-01-01,17558,2945,6220,4200,2409,1206,578
Tower Hamlets,13,Bethnal Green South,E05000574,2032-01-01,17574,2932,6255,4147,2421,1219,600
Tower Hamlets,13,Bethnal Green South,E05000574,2033-01-01,17603,2921,6287,4098,2447,1238,612
Tower Hamlets,13,Bethnal Green South,E05000574,2034-01-01,17629,2906,6314,4067,2459,1253,630
Tower Hamlets,13,Bethnal Green South,E05000574,2035-01-01,17661,2894,6334,4036,2479,1269,649
Tower Hamlets,13,Bethnal Green South,E05000574,2036-01-01,17685,2884,6346,4016,2498,1282,659
Tower Hamlets,13,Bethnal Green South,E05000574,2037-01-01,17724,2874,6351,4009,2512,1298,680
Tower Hamlets,13,Bethnal Green South,E05000574,2038-01-01,17753,2868,6349,4011,2520,1308,697
Tower Hamlets,13,Bethnal Green South,E05000574,2039-01-01,17791,2861,6350,4009,2527,1333,711
Tower Hamlets,13,Bethnal Green South,E05000574,2040-01-01,17830,2859,6346,4018,2527,1359,721
Tower Hamlets,13,Bethnal Green South,E05000574,2041-01-01,17866,2856,6341,4021,2528,1381,739
Tower Hamlets,13,Blackwall and Cubitt Town,E05000575,2011-01-01,19704,3392,6533,6410,2022,952,395
Tower Hamlets,13,Blackwall and Cubitt Town,E05000575,2012-01-01,20299,3640,6324,6771,2155,988,421
Tower Hamlets,13,Blackwall and Cubitt Town,E05000575,2013-01-01,21074,3895,6236,7229,2235,1013,466
Tower Hamlets,13,Blackwall and Cubitt Town,E05000575,2014-01-01,22104,4144,6342,7720,2346,1055,497
Tower Hamlets,13,Blackwall and Cubitt Town,E05000575,2015-01-01,23079,4378,6456,8167,2461,1094,523
Tower Hamlets,13,Blackwall and Cubitt Town,E05000575,2016-01-01,25529,4736,7406,8997,2666,1164,560
Tower Hamlets,13,Blackwall and Cubitt Town,E05000575,2017-01-01,28080,5149,8306,9892,2895,1246,592
Tower Hamlets,13,Blackwall and Cubitt Town,E05000575,2018-01-01,30629,5589,9101,10816,3149,1346,628
Tower Hamlets,13,Blackwall and Cubitt Town,E05000575,2019-01-01,33170,6034,9834,11787,3424,1416,675
Tower Hamlets,13,Blackwall and Cubitt Town,E05000575,2020-01-01,35702,6518,10468,12757,3733,1499,727
Tower Hamlets,13,Blackwall and Cubitt Town,E05000575,2021-01-01,37114,6910,10466,13400,3984,1577,777
Tower Hamlets,13,Blackwall and Cubitt Town,E05000575,2022-01-01,38677,7315,10560,14057,4251,1649,845
Tower Hamlets,13,Blackwall and Cubitt Town,E05000575,2023-01-01,40090,7673,10662,14588,4532,1734,901
Tower Hamlets,13,Blackwall and Cubitt Town,E05000575,2024-01-01,41499,8006,10810,15057,4832,1834,960
Tower Hamlets,13,Blackwall and Cubitt Town,E05000575,2025-01-01,42879,8310,11011,15450,5164,1924,1020
Tower Hamlets,13,Blackwall and Cubitt Town,E05000575,2026-01-01,43407,8484,10900,15518,5441,1998,1066
Tower Hamlets,13,Blackwall and Cubitt Town,E05000575,2027-01-01,43939,8648,10838,15567,5671,2095,1120
Tower Hamlets,13,Blackwall and Cubitt Town,E05000575,2028-01-01,44460,8778,10853,15562,5914,2172,1181
Tower Hamlets,13,Blackwall and Cubitt Town,E05000575,2029-01-01,44974,8916,10889,15526,6144,2261,1238
Tower Hamlets,13,Blackwall and Cubitt Town,E05000575,2030-01-01,45490,9023,10990,15455,6381,2350,1291
Tower Hamlets,13,Blackwall and Cubitt Town,E05000575,2031-01-01,45598,9059,10950,15242,6572,2423,1352
Tower Hamlets,13,Blackwall and Cubitt Town,E05000575,2032-01-01,45692,9064,10960,15004,6743,2506,1415
Tower Hamlets,13,Blackwall and Cubitt Town,E05000575,2033-01-01,45759,9039,10988,14757,6908,2584,1483
Tower Hamlets,13,Blackwall and Cubitt Town,E05000575,2034-01-01,45823,8997,11022,14540,7058,2665,1541
Tower Hamlets,13,Blackwall and Cubitt Town,E05000575,2035-01-01,45891,8948,11058,14332,7189,2755,1609
Tower Hamlets,13,Blackwall and Cubitt Town,E05000575,2036-01-01,45919,8888,11063,14146,7312,2828,1682
Tower Hamlets,13,Blackwall and Cubitt Town,E05000575,2037-01-01,45951,8820,11063,13992,7410,2914,1752
Tower Hamlets,13,Blackwall and Cubitt Town,E05000575,2038-01-01,45987,8762,11038,13879,7476,3006,1826
Tower Hamlets,13,Blackwall and Cubitt Town,E05000575,2039-01-01,46010,8707,11011,13773,7514,3103,1902
Tower Hamlets,13,Blackwall and Cubitt Town,E05000575,2040-01-01,46024,8651,10976,13689,7519,3208,1981
Tower Hamlets,13,Blackwall and Cubitt Town,E05000575,2041-01-01,46052,8604,10931,13627,7517,3317,2056
Tower Hamlets,13,Bow East,E05000576,2011-01-01,14935,2505,5043,4096,1812,912,567
Tower Hamlets,13,Bow East,E05000576,2012-01-01,15577,2656,5105,4427,1886,946,557
Tower Hamlets,13,Bow East,E05000576,2013-01-01,16556,2825,5380,4819,1991,983,558
Tower Hamlets,13,Bow East,E05000576,2014-01-01,16787,2937,5168,5034,2085,997,566
Tower Hamlets,13,Bow East,E05000576,2015-01-01,17048,3037,5044,5230,2151,1030,556
Tower Hamlets,13,Bow East,E05000576,2016-01-01,17532,3137,5097,5443,2214,1084,557
Tower Hamlets,13,Bow East,E05000576,2017-01-01,18052,3237,5199,5648,2284,1128,556
Tower Hamlets,13,Bow East,E05000576,2018-01-01,18567,3339,5284,5846,2375,1159,564
Tower Hamlets,13,Bow East,E05000576,2019-01-01,19059,3454,5350,6012,2462,1207,574
Tower Hamlets,13,Bow East,E05000576,2020-01-01,19525,3550,5412,6168,2548,1264,583
Tower Hamlets,13,Bow East,E05000576,2021-01-01,20002,3633,5520,6316,2638,1302,593
Tower Hamlets,13,Bow East,E05000576,2022-01-01,20606,3721,5682,6480,2739,1362,622
Tower Hamlets,13,Bow East,E05000576,2023-01-01,21117,3789,5813,6613,2849,1420,633
Tower Hamlets,13,Bow East,E05000576,2024-01-01,21616,3862,5921,6741,2954,1465,673
Tower Hamlets,13,Bow East,E05000576,2025-01-01,22115,3928,6041,6838,3089,1528,691
Tower Hamlets,13,Bow East,E05000576,2026-01-01,22420,3968,6101,6859,3198,1581,713
Tower Hamlets,13,Bow East,E05000576,2027-01-01,22748,4008,6178,6892,3305,1629,736
Tower Hamlets,13,Bow East,E05000576,2028-01-01,23084,4045,6263,6925,3405,1686,760
Tower Hamlets,13,Bow East,E05000576,2029-01-01,23430,4094,6348,6962,3504,1742,780
Tower Hamlets,13,Bow East,E05000576,2030-01-01,23791,4148,6447,6991,3611,1789,805
Tower Hamlets,13,Bow East,E05000576,2031-01-01,24138,4190,6569,7011,3700,1828,840
Tower Hamlets,13,Bow East,E05000576,2032-01-01,24478,4231,6690,7032,3789,1871,865
Tower Hamlets,13,Bow East,E05000576,2033-01-01,24816,4270,6802,7061,3881,1916,886
Tower Hamlets,13,Bow East,E05000576,2034-01-01,25188,4319,6915,7108,3962,1961,923
Tower Hamlets,13,Bow East,E05000576,2035-01-01,25555,4367,7019,7159,4037,2009,964
Tower Hamlets,13,Bow East,E05000576,2036-01-01,25919,4412,7109,7226,4116,2060,996
Tower Hamlets,13,Bow East,E05000576,2037-01-01,26287,4465,7189,7302,4181,2109,1041
Tower Hamlets,13,Bow East,E05000576,2038-01-01,26662,4520,7263,7394,4238,2167,1080
Tower Hamlets,13,Bow East,E05000576,2039-01-01,27038,4575,7334,7481,4295,2229,1124
Tower Hamlets,13,Bow East,E05000576,2040-01-01,27410,4634,7403,7573,4332,2306,1162
Tower Hamlets,13,Bow East,E05000576,2041-01-01,27791,4693,7467,7673,4369,2378,1211
Tower Hamlets,13,Bow West,E05000577,2011-01-01,13065,2415,4130,3305,1807,950,458
Tower Hamlets,13,Bow West,E05000577,2012-01-01,13340,2477,4144,3474,1821,963,461
Tower Hamlets,13,Bow West,E05000577,2013-01-01,13716,2548,4192,3659,1837,1013,467
Tower Hamlets,13,Bow West,E05000577,2014-01-01,13930,2570,4202,3801,1838,1051,468
Tower Hamlets,13,Bow West,E05000577,2015-01-01,14087,2599,4169,3896,1871,1079,473
Tower Hamlets,13,Bow West,E05000577,2016-01-01,14123,2628,4057,3965,1897,1102,474
Tower Hamlets,13,Bow West,E05000577,2017-01-01,14199,2657,3979,4030,1916,1137,480
Tower Hamlets,13,Bow West,E05000577,2018-01-01,14264,2659,3937,4084,1933,1167,484
Tower Hamlets,13,Bow West,E05000577,2019-01-01,14308,2658,3898,4125,1955,1176,496
Tower Hamlets,13,Bow West,E05000577,2020-01-01,14359,2670,3844,4151,1975,1215,504
Tower Hamlets,13,Bow West,E05000577,2021-01-01,14351,2670,3786,4150,1990,1244,511
Tower Hamlets,13,Bow West,E05000577,2022-01-01,14398,2668,3765,4147,2024,1261,533
Tower Hamlets,13,Bow West,E05000577,2023-01-01,14423,2673,3736,4138,2063,1257,556
Tower Hamlets,13,Bow West,E05000577,2024-01-01,14435,2671,3707,4124,2080,1296,557
Tower Hamlets,13,Bow West,E05000577,2025-01-01,14451,2658,3697,4092,2099,1338,567
Tower Hamlets,13,Bow West,E05000577,2026-01-01,14447,2630,3718,4041,2128,1359,571
Tower Hamlets,13,Bow West,E05000577,2027-01-01,14448,2595,3746,4001,2160,1366,580
Tower Hamlets,13,Bow West,E05000577,2028-01-01,14454,2574,3771,3965,2178,1364,602
Tower Hamlets,13,Bow West,E05000577,2029-01-01,14481,2566,3783,3936,2206,1361,629
Tower Hamlets,13,Bow West,E05000577,2030-01-01,14500,2551,3808,3905,2220,1372,644
Tower Hamlets,13,Bow West,E05000577,2031-01-01,14519,2539,3843,3873,2229,1379,656
Tower Hamlets,13,Bow West,E05000577,2032-01-01,14547,2528,3881,3845,2244,1377,672
Tower Hamlets,13,Bow West,E05000577,2033-01-01,14573,2518,3909,3822,2258,1376,690
Tower Hamlets,13,Bow West,E05000577,2034-01-01,14618,2517,3941,3812,2269,1377,702
Tower Hamlets,13,Bow West,E05000577,2035-01-01,14661,2514,3961,3803,2282,1380,721
Tower Hamlets,13,Bow West,E05000577,2036-01-01,14705,2514,3980,3805,2288,1387,731
Tower Hamlets,13,Bow West,E05000577,2037-01-01,14754,2519,3990,3810,2288,1400,747
Tower Hamlets,13,Bow West,E05000577,2038-01-01,14821,2524,3995,3827,2295,1418,762
Tower Hamlets,13,Bow West,E05000577,2039-01-01,14875,2535,4002,3843,2295,1421,779
Tower Hamlets,13,Bow West,E05000577,2040-01-01,14931,2543,4007,3860,2285,1435,801
Tower Hamlets,13,Bow West,E05000577,2041-01-01,14990,2555,4007,3878,2280,1457,813
Tower Hamlets,13,Bromley-by-Bow,E05000578,2011-01-01,14627,3736,4451,3655,1651,736,398
Tower Hamlets,13,Bromley-by-Bow,E05000578,2012-01-01,15048,3898,4480,3762,1755,755,398
Tower Hamlets,13,Bromley-by-Bow,E05000578,2013-01-01,15521,4061,4522,3867,1885,781,405
Tower Hamlets,13,Bromley-by-Bow,E05000578,2014-01-01,17419,4398,5432,4260,2086,840,403
Tower Hamlets,13,Bromley-by-Bow,E05000578,2015-01-01,18690,4687,5856,4610,2251,872,414
Tower Hamlets,13,Bromley-by-Bow,E05000578,2016-01-01,20193,5007,6411,5000,2412,944,419
Tower Hamlets,13,Bromley-by-Bow,E05000578,2017-01-01,21720,5361,6897,5422,2603,1011,426
Tower Hamlets,13,Bromley-by-Bow,E05000578,2018-01-01,23267,5745,7321,5887,2795,1092,427
Tower Hamlets,13,Bromley-by-Bow,E05000578,2019-01-01,24771,6113,7726,6317,3000,1182,433
Tower Hamlets,13,Bromley-by-Bow,E05000578,2020-01-01,26287,6522,8059,6756,3238,1272,440
Tower Hamlets,13,Bromley-by-Bow,E05000578,2021-01-01,26967,6803,7916,7030,3411,1369,438
Tower Hamlets,13,Bromley-by-Bow,E05000578,2022-01-01,27725,7085,7843,7277,3607,1463,450
Tower Hamlets,13,Bromley-by-Bow,E05000578,2023-01-01,28412,7349,7773,7482,3753,1587,468
Tower Hamlets,13,Bromley-by-Bow,E05000578,2024-01-01,29067,7566,7747,7641,3938,1689,486
Tower Hamlets,13,Bromley-by-Bow,E05000578,2025-01-01,29714,7791,7741,7755,4135,1782,510
Tower Hamlets,13,Bromley-by-Bow,E05000578,2026-01-01,29864,7890,7580,7694,4300,1877,523
Tower Hamlets,13,Bromley-by-Bow,E05000578,2027-01-01,29998,7936,7477,7618,4434,1986,547
