2838,English (English or Welsh if in Wales),London,6083420,0.7789328,1
2839,Other European Language (EU): Polish,London,147816,0.01892665,2
2840,South Asian Language: Bengali (with Sylheti and Chatgaya),London,114267,0.01463097,3
2841,South Asian Language: Gujarati,London,101676,0.01301879,4
2842,French,London,84191,0.01077998,5
2843,South Asian Language: Urdu,London,78667,0.01007267,6
2844,Portuguese,London,71525,0.0091582,7
2845,Turkish,London,71242,0.00912196,8
2846,Spanish,London,71192,0.00911556,9
2847,Arabic,London,70602,0.00904002,10
2848,South Asian Language: Tamil,London,70565,0.00903528,11
2849,South Asian Language: Panjabi,London,68525,0.00877407,12
2850,African Language: Somali,London,54852,0.00702336,13
2851,Other European Language (EU): Italian,London,49484,0.00633603,14
2852,Other European Language (EU): Romanian,London,39653,0.00507725,15
2853,West or Central Asian Language: Persian-Farsi,London,39645,0.00507622,16
2854,Other European Language (EU): Lithuanian,London,35341,0.00452513,17
2855,East Asian Language: All other Chinese,London,34712,0.00444459,18
2856,Other European Language (EU): German,London,31306,0.00400848,19
2857,Other European Language (EU): Greek,London,26924,0.0034474,20
2858,Russian,London,26603,0.0034063,21
2859,East Asian Language: Tagalog-Filipino,London,25869,0.00331232,22
2860,Other European Language (EU): Bulgarian,London,23032,0.00294906,23
2861,Other European Language (non EU): Albanian,London,23006,0.00294573,24
2862,South Asian Language: Hindi,London,21503,0.00275329,25
2863,South Asian Language: Nepalese,London,19388,0.00248248,26
2864,East Asian Language: Japanese,London,17050,0.00218311,27
2865,Other European Language (EU): Hungarian,London,16570,0.00212165,28
2866,West Central Asian Language: Kurdish,London,15230,0.00195008,29
2867,West-Central Asian Language: Pashto,London,15096,0.00193292,30
2868,African Language: Akan,London,13188,0.00168862,31
2869,East Asian Language: Cantonese Chinese,London,12329,0.00157863,32
2870,Other European Language (EU): Slovak,London,10446,0.00133753,33
2871,Other European Language (EU): Swedish,London,10428,0.00133522,34
2872,African Language: Yoruba,London,10119,0.00129566,35
2873,Other European Language (EU): Dutch,London,9603,0.00122959,36
2874,South Asian Language: Malayalam,London,9201,0.00117811,37
2875,East Asian Language: Korean,London,8257,0.00105724,38
2876,Other Languages: All other languages,London,8250,0.00105635,39
2877,East Asian Language: Vietnamese,London,8087,0.00103548,40
2878,South Asian Language: Sinhala,London,7945,0.00101729,41
2879,West or Central Asian Language: West or Central Asian Language (all other),London,7872,0.00100795,42
2880,South Asian Language: South Asian Language (all other),London,7519,9.63E-04,43
2881,African Language: Tigrinya,London,7207,9.23E-04,44
2882,African Language: African language (all other),London,7126,9.12E-04,45
2883,West Other European Language (non EU): Serbian-Croatian-Bosnianr Central Asian Language: West or Central Asian Language (all other),London,7012,8.98E-04,46
2884,East Asian Language: Thai,London,6859,8.78E-04,47
2885,Other European Language (EU): Czech,London,6776,8.68E-04,48
2886,East Asian Language: Mandarin Chinese,London,6718,8.60E-04,49
2887,African Language: Swahili-Kiswahili,London,6338,8.12E-04,50
2888,African Language: Amharic,London,6174,7.91E-04,51
2889,South Asian Language: Telugu,London,5568,7.13E-04,52
2890,East Asian Language: East Asian Language (all other),London,5451,6.98E-04,53
2891,African Language: Igbo,London,5252,6.72E-04,54
2892,Other European Language (non EU): Northern European Language (non EU),London,4593,5.88E-04,55
2893,Other European Language (EU): Latvian,London,4452,5.70E-04,56
2894,African Language: West African language (all other),London,4430,5.67E-04,57
2895,West or Central Asian Language: Hebrew,London,4403,5.64E-04,58
2896,Other European Language (EU): Danish,London,4185,5.36E-04,59
2897,African Language: Afrikaans,London,4106,5.26E-04,60
2898,African Language: Any other Nigerian language,London,3577,4.58E-04,61
2899,Other European Language (non-national): Yiddish,London,3482,4.46E-04,62
2900,African Language: Lingala,London,3338,4.27E-04,63
2901,African Language: Shona,London,3034,3.88E-04,64
2902,Sign Language: British sign language,London,2926,3.75E-04,65
2903,Other European Language (non EU): Ukrainian,London,2912,3.73E-04,66
2904,East Asian Language: Malay,London,2817,3.61E-04,67
2905,Other European Language (EU): Finnish,London,2800,3.59E-04,68
