id,lang,bName,sNum,sProportion,langRank
1,English (English or Welsh if in Wales),Barking and Dagenham,141962,0.81275799,1
2,Other European Language (EU): Lithuanian,Barking and Dagenham,3935,0.02252858,2
3,South Asian Language: Bengali (with Sylheti and Chatgaya),Barking and Dagenham,3512,0.02010683,3
4,South Asian Language: Urdu,Barking and Dagenham,2975,0.01703241,4
5,Other European Language (EU): Polish,Barking and Dagenham,1786,0.01022517,5
6,South Asian Language: Panjabi,Barking and Dagenham,1657,0.00948662,6
7,Other European Language (non EU): Albanian,Barking and Dagenham,1399,0.00800953,7
8,Portuguese,Barking and Dagenham,1368,0.00783205,8
9,French,Barking and Dagenham,1270,0.00727098,9
10,Other European Language (EU): Romanian,Barking and Dagenham,1182,0.00676716,10
11,African Language: Swahili-Kiswahili,Barking and Dagenham,846,0.0048435,11
12,South Asian Language: Tamil,Barking and Dagenham,816,0.00467175,12
13,Other European Language (EU): Bulgarian,Barking and Dagenham,812,0.00464885,13
14,Turkish,Barking and Dagenham,804,0.00460304,14
15,African Language: Yoruba,Barking and Dagenham,708,0.00405343,15
16,East Asian Language: Tagalog-Filipino,Barking and Dagenham,601,0.00344083,16
17,South Asian Language: Gujarati,Barking and Dagenham,585,0.00334923,17
18,Russian,Barking and Dagenham,558,0.00319465,18
19,African Language: Akan,Barking and Dagenham,530,0.00303435,19
20,Arabic,Barking and Dagenham,478,0.00273664,20
21,African Language: Somali,Barking and Dagenham,424,0.00242748,21
22,East Asian Language: All other Chinese,Barking and Dagenham,416,0.00238167,22
23,Spanish,Barking and Dagenham,393,0.00225,23
24,South Asian Language: Hindi,Barking and Dagenham,381,0.00218129,24
25,African Language: Igbo,Barking and Dagenham,371,0.00212404,25
26,South Asian Language: Malayalam,Barking and Dagenham,331,0.00189503,26
27,West or Central Asian Language: Persian-Farsi,Barking and Dagenham,301,0.00172328,27
28,South Asian Language: Telugu,Barking and Dagenham,291,0.00166603,28
29,African Language: African language (all other),Barking and Dagenham,235,0.00134542,29
30,Other European Language (EU): Italian,Barking and Dagenham,215,0.00123091,30
31,West-Central Asian Language: Pashto,Barking and Dagenham,205,0.00117366,31
32,African Language: Lingala,Barking and Dagenham,197,0.00112786,32
33,Other European Language (EU): German,Barking and Dagenham,181,0.00103626,33
34,Other Languages: All other languages,Barking and Dagenham,168,9.62E-04,34
35,African Language: Shona,Barking and Dagenham,167,9.56E-04,35
36,African Language: Any other Nigerian language,Barking and Dagenham,166,9.50E-04,36
37,African Language: West African language (all other),Barking and Dagenham,156,8.93E-04,37
38,South Asian Language: South Asian Language (all other),Barking and Dagenham,144,8.24E-04,38
39,East Asian Language: Thai,Barking and Dagenham,141,8.07E-04,39
40,East Asian Language: Cantonese Chinese,Barking and Dagenham,140,8.02E-04,40
41,South Asian Language: Sinhala,Barking and Dagenham,135,7.73E-04,41
42,Other European Language (EU): Dutch,Barking and Dagenham,113,6.47E-04,42
43,South Asian Language: Nepalese,Barking and Dagenham,112,6.41E-04,43
44,Other European Language (EU): Greek,Barking and Dagenham,110,6.30E-04,44
45,Other European Language (EU): Hungarian,Barking and Dagenham,106,6.07E-04,45
46,African Language: Luganda,Barking and Dagenham,103,5.90E-04,46
47,West or Central Asian Language: West or Central Asian Language (all other),Barking and Dagenham,89,5.10E-04,47
48,Sign Language: British sign language,Barking and Dagenham,87,4.98E-04,48
49,Other European Language (EU): Latvian,Barking and Dagenham,83,4.75E-04,49
50,Other European Language (EU): Slovak,Barking and Dagenham,80,4.58E-04,50
51,West Other European Language (non EU): Serbian-Croatian-Bosnianr Central Asian Language: West or Central Asian Language (all other),Barking and Dagenham,79,4.52E-04,51
52,Other European Language (EU): Czech,Barking and Dagenham,72,4.12E-04,52
53,Other European Language (non EU): Ukrainian,Barking and Dagenham,64,3.66E-04,53
54,East Asian Language: East Asian Language (all other),Barking and Dagenham,57,3.26E-04,54
55,West Central Asian Language: Kurdish,Barking and Dagenham,56,3.21E-04,55
56,East Asian Language: Mandarin Chinese,Barking and Dagenham,55,3.15E-04,56
57,African Language: Amharic,Barking and Dagenham,49,2.81E-04,57
58,East Asian Language: Vietnamese,Barking and Dagenham,46,2.63E-04,58
59,African Language: Tigrinya,Barking and Dagenham,33,1.89E-04,59
60,South Asian Language: Marathi,Barking and Dagenham,31,1.77E-04,60
61,Other European Language (EU): Estonian,Barking and Dagenham,30,1.72E-04,61
62,Other European Language (EU): Maltese,Barking and Dagenham,29,1.66E-04,62
63,East Asian Language: Korean,Barking and Dagenham,28,1.60E-04,63
