languageID,language,borough,speakersNum,speakersProportion,languageRank
1,Albanian,Barking and Dagenham,1399,0.00800953,7
1,Albanian,Camden,2043,0.94104099,9
2,Arabic,Barnet,3305,0.00970828,6
2,Arabic,Brent,7892,0.02653844,4
2,Arabic,Camden,2171,0.98996808,8
2,Arabic,Ealing,6989,0.02164816,4
2,Arabic,Hammersmith and Fulham,3379,0.01931729,3
2,Arabic,Harrow,2370,0.01033139,7
2,Arabic,Hillingdon,1706,0.00651172,8
2,Arabic,Hounslow,2499,0.01033819,7
2,Arabic,Kensington and Chelsea,4447,0.02906251,3
2,Arabic,Kingston upon Thames,1518,0.00990306,5
2,Arabic,Lambeth,1485,0.00511928,8
2,Arabic,Richmond upon Thames,722,0.00404888,8
2,Arabic,Southwark,1870,0.00679405,10
2,Arabic,Sutton,593,0.00325145,8
2,Arabic,Wandsworth,1550,0.00529046,10
2,Arabic,Westminster,11971,0.05663609,2
3,Bengali,Barking and Dagenham,3512,0.02010683,3
3,Bengali,Camden,6449,0.03972869,2
3,Bengali,City of London,115,0.01594565,4
3,Bengali,Enfield,2594,0.0087137,6
3,Bengali,Hackney,3003,0.01281521,6
3,Bengali,Havering,490,0.00213875,5
3,Bengali,Islington,2315,0.01166664,6
3,Bengali,Merton,970,0.00509186,9
3,Bengali,Newham,21635,0.07399212,2
3,Bengali,Redbridge,6633,0.02493909,5
3,Bengali,Southwark,1957,0.00711013,9
3,Bengali,Tower Hamlets,43525,0.17958229,2
3,Bengali,Waltham Forest,2346,0.00955912,9
3,Bengali,Westminster,2977,0.01408451,7
4,Bulgarian,Haringey,2393,0.00981663,10
5,English,Barking and Dagenham,141962,0.81275799,1
5,English,Barnet,260753,0.76594963,1
5,English,Bexley,209507,0.61541693,1
5,English,Brent,186900,0.6284888,1
5,English,Bromley,280077,0.94207179,1
5,English,Camden,162326,0.76536737,1
5,English,City of London,5976,0.82861897,1
5,English,Croydon,296232,0.85504732,1
5,English,Ealing,213470,0.66121513,1
5,English,Enfield,229660,0.7714685,1
5,English,Greenwich,200919,0.8313603,1
5,English,Hackney,177886,0.75912278,1
5,English,Hammersmith and Fulham,135236,0.77312615,1
5,English,Haringey,171334,0.70285105,1
5,English,Harrow,164051,0.71513701,1
5,English,Havering,218645,0.95433991,1
5,English,Hillingdon,212834,0.81237762,1
