languageID,language,borough,geoGSS,speakersNum,speakersProportion,languageRank
1,Albanian,Barking and Dagenham,E09000002,1399,0.00800953,7
3,Bengali,Barking and Dagenham,E09000002,3512,0.02010683,3
6,French,Barking and Dagenham,E09000002,1270,0.00727098,9
15,Lithuanian,Barking and Dagenham,E09000002,3935,0.02252858,2
19,Panjabi,Barking and Dagenham,E09000002,1657,0.00948662,6
21,Polish,Barking and Dagenham,E09000002,1786,0.01022517,5
22,Portuguese,Barking and Dagenham,E09000002,1368,0.00783205,8
23,Romanian,Barking and Dagenham,E09000002,1182,0.00676716,10
31,Urdu,Barking and Dagenham,E09000002,2975,0.01703241,4
2,Arabic,Barnet,E09000003,3305,0.00970828,6
6,French,Barnet,E09000003,2177,0.00639483,10
9,Gujarati,Barnet,E09000003,7278,0.02137878,3
12,Japanese,Barnet,E09000003,2449,0.00719382,9
18,Other Chinese,Barnet,E09000003,2503,0.00735244,8
20,Persian-Farsi,Barnet,E09000003,6639,0.01950175,4
21,Polish,Barnet,E09000003,7930,0.023294,2
22,Portuguese,Barnet,E09000003,2839,0.00833943,7
23,Romanian,Barnet,E09000003,3995,0.01173512,5
6,French,Bexley,E09000004,499,0.00146579,10
9,Gujarati,Bexley,E09000004,533,0.00156566,9
15,Lithuanian,Bexley,E09000004,567,0.00166554,6
18,Other Chinese,Bexley,E09000004,548,0.00160972,8
19,Panjabi,Bexley,E09000004,1655,0.00486148,2
21,Polish,Bexley,E09000004,918,0.00269658,3
28,Tamil,Bexley,E09000004,736,0.00216197,4
30,Turkish,Bexley,E09000004,686,0.00201509,5
33,Yoruba,Bexley,E09000004,554,0.00162735,7
2,Arabic,Brent,E09000005,7892,0.02653844,4
9,Gujarati,Brent,E09000005,23500,0.07902347,2
20,Persian-Farsi,Brent,E09000005,3341,0.01123478,10
21,Polish,Brent,E09000005,10153,0.0341415,3
22,Portuguese,Brent,E09000005,6442,0.02166252,5
23,Romanian,Brent,E09000005,5722,0.01924137,8
25,Somali,Brent,E09000005,6079,0.02044186,7
28,Tamil,Brent,E09000005,6141,0.02065035,6
31,Urdu,Brent,E09000005,4571,0.01537091,9
6,French,Bromley,E09000006,1056,0.00355198,3
11,Italian,Bromley,E09000006,626,0.00210562,9
18,Other Chinese,Bromley,E09000006,668,0.0022469,8
21,Polish,Bromley,E09000006,1597,0.0053717,2
22,Portuguese,Bromley,E09000006,765,0.00257317,6
24,Russian,Bromley,E09000006,558,0.0018769,10
26,Spanish,Bromley,E09000006,798,0.00268417,5
28,Tamil,Bromley,E09000006,684,0.00230071,7
30,Turkish,Bromley,E09000006,803,0.00270098,4
1,Albanian,Camden,E09000007,2043,0.94104099,9
2,Arabic,Camden,E09000007,2171,0.98996808,8
3,Bengali,Camden,E09000007,6449,0.03972869,2
6,French,Camden,E09000007,4225,0.65514033,3
7,German,Camden,E09000007,2193,0.86168959,7
11,Italian,Camden,E09000007,2626,0.84518828,5
22,Portuguese,Camden,E09000007,2004,0.98091043,10
25,Somali,Camden,E09000007,2545,0.96915461,6
26,Spanish,Camden,E09000007,3107,0.73538462,4
3,Bengali,City of London,E09000001,115,0.01594565,4
6,French,City of London,E09000001,155,0.02149196,2
7,German,City of London,E09000001,86,0.01192457,5
8,Greek,City of London,E09000001,58,0.00804215,7
11,Italian,City of London,E09000001,80,0.01109262,6
12,Japanese,City of London,E09000001,45,0.0062396,10
18,Other Chinese,City of London,E09000001,48,0.00665557,8
22,Portuguese,City of London,E09000001,47,0.00651692,9
26,Spanish,City of London,E09000001,127,0.01760954,3
6,French,Croydon,E09000008,2408,0.00695048,6
9,Gujarati,Croydon,E09000008,4214,0.01216334,4
16,Malayalam,Croydon,E09000008,1428,0.0041218,9
21,Polish,Croydon,E09000008,4940,0.01425887,3
22,Portuguese,Croydon,E09000008,2024,0.0058421,7
26,Spanish,Croydon,E09000008,1378,0.00397747,10
28,Tamil,Croydon,E09000008,5172,0.01492852,2
30,Turkish,Croydon,E09000008,1482,0.00427766,8
31,Urdu,Croydon,E09000008,3906,0.01127432,5
2,Arabic,Ealing,E09000009,6989,0.02164816,4
6,French,Ealing,E09000009,2696,0.00835076,10
9,Gujarati,Ealing,E09000009,5903,0.01828432,6
19,Panjabi,Ealing,E09000009,16328,0.05057535,3
20,Persian-Farsi,Ealing,E09000009,4200,0.01300934,9
21,Polish,Ealing,E09000009,20463,0.06338336,2
25,Somali,Ealing,E09000009,5611,0.01737986,7
28,Tamil,Ealing,E09000009,6002,0.01859096,5
31,Urdu,Ealing,E09000009,5128,0.01588378,8
3,Bengali,Enfield,E09000010,2594,0.0087137,6
6,French,Enfield,E09000010,2360,0.00792766,8
8,Greek,Enfield,E09000010,4627,0.01554291,4
9,Gujarati,Enfield,E09000010,2490,0.00836435,7
11,Italian,Enfield,E09000010,1799,0.00604316,10
14,Kurdish,Enfield,E09000010,1990,0.00668476,9
21,Polish,Enfield,E09000010,5837,0.01960751,3
25,Somali,Enfield,E09000010,3127,0.01050415,5
30,Turkish,Enfield,E09000010,18378,0.06173495,2
6,French,Greenwich,E09000011,2151,0.00890038,4
15,Lithuanian,Greenwich,E09000011,1882,0.00778732,5
17,Nepalese,Greenwich,E09000011,5058,0.02092893,2
18,Other Chinese,Greenwich,E09000011,1773,0.0073363,6
19,Panjabi,Greenwich,E09000011,1714,0.00709217,7
21,Polish,Greenwich,E09000011,2232,0.00923554,3
25,Somali,Greenwich,E09000011,1476,0.00610738,8
